,0
1249,6136
1250,6138
1251,6139
1252,6140
1253,6141
1254,6142
1255,6143
1256,6144
1257,6146
1258,6147
1259,6148
1260,6150
1261,6151
1262,6152
1263,6153
1264,6154
1265,6155
1266,6156
1267,6158
1268,6160
1269,6161
1270,6163
1271,6164
1272,6165
1273,6166
1274,6167
1275,6168
1276,6169
1277,6170
1278,6171
1279,6172
1280,6173
1281,6174
1282,6175
1283,6176
1284,6177
1285,6179
1286,6180
1287,6182
1288,6183
1289,6184
1290,6185
1291,6186
1292,6187
1293,6188
1294,6189
1295,6190
1296,6191
1297,6192
1298,6194
1299,6195
1300,6196
1301,6197
1302,6198
1303,6199
1304,6201
1305,6202
1306,6203
1307,6204
1308,6205
1309,6206
1310,6207
1311,6208
1312,6209
1313,6210
1314,6212
1315,6213
1316,6214
1317,6215
1318,6216
1319,6217
1320,6218
1321,6219
1322,6220
1323,6221
1324,6222
1325,6223
1326,6224
1327,6225
1328,6226
1329,6227
1330,6228
1331,6229
1332,6230
1333,6231
1334,6233
1335,6234
1336,6235
1337,6236
1338,6237
1339,6239
1340,6240
1341,6241
1342,6242
1343,6243
1344,6244
1345,6245
1346,6246
1347,6247
1348,6248
1349,6251
1350,6257
1351,6259
1352,6261
1353,6263
1354,6264
1355,6265
1356,6266
1357,6269
1358,6270
1359,6271
1360,6274
1361,6275
1362,6276
1363,6277
1364,6278
1365,6279
1366,6281
1367,6282
1368,6283
1369,6284
1370,6285
1371,6287
1372,6288
1373,6289
1374,6290
1375,6291
1376,6292
1377,6294
1378,6404
1379,6405
1380,6409
1381,6411
1382,6412
1383,6414
1384,6415
1385,6416
1386,6417
1387,6418
1388,6419
1389,6425
1390,6426
1391,6431
1392,6432
1393,6435
1394,6438
1395,6441
1396,6442
1397,6443
1398,6446
1399,6449
1400,6451
1401,6452
1402,6456
1403,6457
1404,6461
1405,6462
1406,6464
1407,6465
1408,6469
1409,6470
1410,6472
1411,6477
1412,6482
1413,6485
1414,6486
1415,6488
1416,6491
1417,6492
1418,6494
1419,6496
1420,6499
1421,6504
